trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint,dia_stop_time_symbol
平日_06時07分_系統5-1-9,06:07:00,06:07:00,04_02,1,湯の川,0,1,1,
平日_06時07分_系統5-1-9,06:08:00,06:08:00,03_02,2,湯の川,0,0,1,
平日_06時07分_系統5-1-9,06:09:00,06:09:00,02_02,3,湯の川,0,0,1,
平日_06時07分_系統5-1-9,06:10:00,06:10:00,01_02,4,湯の川,1,0,1,
平日_06時07分_系統2-1-2,06:07:00,06:07:00,04_01,1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,0,1,1,
平日_06時07分_系統2-1-2,06:08:00,06:08:00,05_01,2,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,0,0,1,
平日_06時07分_系統2-1-2,06:10:00,06:10:00,06_01,3,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,0,0,1,
平日_06時07分_系統2-1-2,06:12:00,06:12:00,07_01,4,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,0,0,1,
平日_06時07分_系統2-1-2,06:14:00,06:14:00,08_01,5,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,0,0,1,
平日_06時07分_系統2-1-2,06:17:00,06:17:00,09_01,6,谷地頭（函館駅前・十字街・宝来町 経由）,0,0,1,
平日_06時07分_系統2-1-2,06:19:00,06:19:00,10_01,7,谷地頭（函館駅前・十字街・宝来町 経由）,0,0,1,
平日_06時07分_系統2-1-2,06:21:00,06:21:00,11_01,8,谷地頭（函館駅前・十字街・宝来町 経由）,0,0,1,
平日_06時07分_系統2-1-2,06:22:00,06:22:00,12_01,9,谷地頭（函館駅前・十字街・宝来町 経由）,0,0,1,
平日_06時07分_系統2-1-2,06:24:00,06:24:00,13_01,10,谷地頭（函館駅前・十字街・宝来町 経由）,0,0,1,
平日_06時07分_系統2-1-2,06:25:00,06:25:00,14_01,11,谷地頭（函館駅前・十字街・宝来町 経由）,0,0,1,
平日_06時07分_系統2-1-2,06:27:00,06:27:00,15_01,12,谷地頭（函館駅前・十字街・宝来町 経由）,0,0,1,
平日_06時07分_系統2-1-2,06:29:00,06:29:00,16_01,13,谷地頭（函館駅前・十字街・宝来町 経由）,0,0,1,
平日_06時07分_系統2-1-2,06:33:00,06:33:00,17_01,14,谷地頭（十字街・宝来町 経由）,0,0,1,
平日_06時07分_系統2-1-2,06:34:00,06:34:00,18_01,15,谷地頭（十字街・宝来町 経由）,0,0,1,
平日_06時07分_系統2-1-2,06:35:00,06:35:00,19_01,16,谷地頭（十字街・宝来町 経由）,0,0,1,
平日_06時07分_系統2-1-2,06:38:00,06:38:00,20_01,17,谷地頭（宝来町 経由）,0,0,1,
平日_06時07分_系統2-1-2,06:40:00,06:40:00,24_01,18,谷地頭,0,0,1,
平日_06時07分_系統2-1-2,06:42:00,06:42:00,25_01,19,谷地頭,0,0,1,
平日_06時07分_系統2-1-2,06:45:00,06:45:00,26_01,20,谷地頭,1,0,1,
平日_06時12分_系統2-1-4,06:12:00,06:12:00,04_02,1,湯の川,0,1,1,
平日_06時12分_系統2-1-4,06:13:00,06:13:00,03_02,2,湯の川,0,0,1,
平日_06時12分_系統2-1-4,06:14:00,06:14:00,02_02,3,湯の川,0,0,1,
平日_06時12分_系統2-1-4,06:15:00,06:15:00,01_02,4,湯の川,1,0,1,
平日_06時13分_系統5-1-1,06:13:00,06:13:00,01_01,1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,0,1,1,
平日_06時13分_系統5-1-1,06:14:00,06:14:00,02_01,2,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,0,0,1,
平日_06時13分_系統5-1-1,06:15:00,06:15:00,03_01,3,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,0,0,1,
平日_06時13分_系統5-1-1,06:17:00,06:17:00,04_01,4,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,0,0,1,
平日_06時13分_系統5-1-1,06:18:00,06:18:00,05_01,5,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,0,0,1,
平日_06時13分_系統5-1-1,06:20:00,06:20:00,06_01,6,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,0,0,1,
平日_06時13分_系統5-1-1,06:22:00,06:22:00,07_01,7,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,0,0,1,
平日_06時13分_系統5-1-1,06:24:00,06:24:00,08_01,8,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,0,0,1,
平日_06時13分_系統5-1-1,06:27:00,06:27:00,09_01,9,函館どつく前（函館駅前・十字街・末広町 経由）,0,0,1,
平日_06時13分_系統5-1-1,06:29:00,06:29:00,10_01,10,函館どつく前（函館駅前・十字街・末広町 経由）,0,0,1,
平日_06時13分_系統5-1-1,06:31:00,06:31:00,11_01,11,函館どつく前（函館駅前・十字街・末広町 経由）,0,0,1,
平日_06時13分_系統5-1-1,06:32:00,06:32:00,12_01,12,函館どつく前（函館駅前・十字街・末広町 経由）,0,0,1,
平日_06時13分_系統5-1-1,06:34:00,06:34:00,13_01,13,函館どつく前（函館駅前・十字街・末広町 経由）,0,0,1,
平日_06時13分_系統5-1-1,06:35:00,06:35:00,14_01,14,函館どつく前（函館駅前・十字街・末広町 経由）,0,0,1,
平日_06時13分_系統5-1-1,06:37:00,06:37:00,15_01,15,函館どつく前（函館駅前・十字街・末広町 経由）,0,0,1,
平日_06時13分_系統5-1-1,06:39:00,06:39:00,16_01,16,函館どつく前（函館駅前・十字街・末広町 経由）,0,0,1,
平日_06時13分_系統5-1-1,06:43:00,06:43:00,17_01,17,函館どつく前（十字街・末広町 経由）,0,0,1,
平日_06時13分_系統5-1-1,06:44:00,06:44:00,18_01,18,函館どつく前（十字街・末広町 経由）,0,0,1,
平日_06時13分_系統5-1-1,06:45:00,06:45:00,19_01,19,函館どつく前（十字街・末広町 経由）,0,0,1,
平日_06時13分_系統5-1-1,06:48:00,06:48:00,20_01,20,函館どつく前（末広町 経由）,0,0,1,
平日_06時13分_系統5-1-1,06:51:00,06:51:00,21_01,21,函館どつく前,0,0,1,
平日_06時13分_系統5-1-1,06:52:00,06:52:00,22_01,22,函館どつく前,0,0,1,
平日_06時13分_系統5-1-1,06:54:00,06:54:00,23_01,23,函館どつく前,1,0,1,
