stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code,parent_station,platform_name
01_01,DY01,湯の川,,41.781115,140.790188571429,01_01,,0,,,
01_02,DY01,湯の川,,41.7811,140.79,01_02,,0,,,
02_01,DY02,湯の川温泉,,41.77997,140.7852,02_01,,0,,,
02_02,DY02,湯の川温泉,,41.78009,140.7851,02_02,,0,,,
03_01,DY03,アリーナ前,,41.78182,140.7826,03_01,,0,,,
03_02,DY03,アリーナ前,,41.78196,140.7823,03_02,,0,,,
04_01,DY04,駒場車庫前,,41.783365,140.778994285714,04_01,,0,,,
04_02,DY04,駒場車庫前,,41.78328,140.779265714286,04_02,,0,,,
05_01,DY05,競馬場前,,41.78414,140.7766,05_01,,0,,,
05_02,DY05,競馬場前,,41.78425,140.7764,05_02,,0,,,
06_01,DY06,深堀町,,41.78708,140.7701,06_01,,0,,,
06_02,DY06,深堀町,,41.78721,140.769917142857,06_02,,0,,,
07_01,DY07,柏木町,,41.7879,140.7655,07_01,,0,,,
07_02,DY07,柏木町,,41.78795,140.7651,07_02,,0,,,
08_01,DY08,杉並町,,41.78862,140.7594,08_01,,0,,,
08_02,DY08,杉並町,,41.78876,140.7581,08_02,,0,,,
09_01,DY09,五稜郭公園前,,41.78914,140.7531,09_01,,0,,,
09_02,DY09,五稜郭公園前,,41.789275,140.751945714286,09_02,,0,,,
10_01,DY10,中央病院前,,41.7867,140.751,10_01,,0,,,
10_02,DY10,中央病院前,,41.78654,140.7509,10_02,,0,,,
11_01,DY11,千代台,,41.78401,140.7485,11_01,,0,,,
11_02,DY11,千代台,,41.78391,140.7483,11_02,,0,,,
12_01,DY12,堀川町,,41.78086,140.7446,12_01,,0,,,
12_02,DY12,堀川町,,41.78044,140.744,12_02,,0,,,
13_01,DY13,昭和橋,,41.77798,140.7409,13_01,,0,,,
13_02,DY13,昭和橋,,41.77788,140.7407,13_02,,0,,,
14_01,DY14,千歳町,,41.77618,140.7387,14_01,,0,,,
14_02,DY14,千歳町,,41.77578,140.7381,14_02,,0,,,
15_01,DY15,新川町,,41.77397,140.7359,15_01,,0,,,
15_02,DY15,新川町,,41.77352,140.7353,15_02,,0,,,
16_01,DY16,松風町,,41.77168,140.7334,16_01,,0,,,
16_02,DY16,松風町,,41.7713,140.733,16_02,,0,,,
17_01,DY17,函館駅前,,41.77247,140.728,17_01,,0,,,
17_02,DY17,函館駅前,,41.77226,140.727794285714,17_02,,0,,,
18_01,DY18,市役所前,,41.769385,140.725577142857,18_01,,0,,,
18_02,DY18,市役所前,,41.769575,140.725688571429,18_02,,0,,,
19_01,DY19,魚市場通,,41.76664,140.7228,19_01,,0,,,
19_02,DY19,魚市場通,,41.76694,140.723082857143,19_02,,0,,,
20_01,DY20,十字街,,41.7644633333334,140.719671428572,20_01,,0,,,
20_02,DY20,十字街,,41.7643516666668,140.719271428572,20_02,,0,,,
24_01,Y24,宝来町,,41.76114,140.7199,24_01,,0,,,
24_02,Y24,宝来町,,41.760535,140.720237142857,24_02,,0,,,
25_01,Y25,青柳町,,41.75651,140.718534285714,25_01,,0,,,
25_02,Y25,青柳町,,41.75644,140.7184,25_02,,0,,,
26_01,Y26,谷地頭,,41.75323,140.716391428571,26_01,,0,,,
26_02,Y26,谷地頭,,41.75323,140.7164,26_02,,0,,,
21_01,D21,末広町,,41.76654,140.7125,21_01,,0,,,
21_02,D21,末広町,,41.766665,140.712422857143,21_02,,0,,,
22_01,D22,大町,,41.76972,140.709534285714,22_01,,0,,,
22_02,D22,大町,,41.770175,140.709111428571,22_02,,0,,,
23_01,D23,函館どつく前,,41.77308,140.7044,23_01,,0,,,
23_02,D23,函館どつく前,,41.77322,140.7042,23_02,,0,,,
