node_id,longitude,latitude,elevation,degree,store_density_500m,supermarket_density_500m,stop_density_500m,dist_to_mirai_m,dist_to_station_m,cluster_id
262646076,140.7927894,41.7797913,4.6077554480318685,4,3,1,1,7236.823963498408,5406.660740521723,2
262646077,140.7930692,41.7790177,4.491492533540274,4,3,1,1,7325.760198750259,5417.273354656623,2
262646083,140.7934068,41.7779685,4.3226970322183975,4,2,1,1,7445.371395641234,5430.529696358956,0
262646086,140.7932954,41.7770117,4.606144951550969,6,2,1,0,7544.440720195778,5410.450781263125,0
262647013,140.7420883,41.7788932,5.2764095817379895,4,6,2,3,7312.091664802389,1363.8752893625583,5
262647032,140.7506574,41.7856913,14.964342865257166,7,20,1,4,6405.483185813219,2377.323852297486,2
262647039,140.7511934,41.78735,16.355407436319254,6,30,0,3,6216.023333595903,2528.6906467004146,2
262647048,140.7577242,41.7887259,17.631562383818256,4,14,0,4,5973.974506593869,3045.5309927131407,2
262647051,140.7599203,41.7885123,18.06976874941276,4,3,1,4,5977.067134634664,3179.8612436006633,2
262647054,140.7626765,41.7881585,18.477267774023417,4,5,2,4,5998.347629662879,3349.9646774681587,5
262647058,140.7656417,41.7879652,18.67439934381808,6,7,2,3,6010.216332704302,3550.6871114703677,5
262647060,140.7667939,41.7879052,18.117651799977672,6,8,3,3,6015.847242551769,3630.963018078285,7
262647061,140.7676728,41.787783,17.90565906463474,3,6,3,2,6029.64420010087,3688.75351845106,7
262647077,140.7780292,41.7836624,12.15585944236996,4,3,1,4,6550.571826805342,4310.653862299071,2
262647083,140.7820592,41.7819966,6.192134401871677,4,7,1,13,6786.781122785183,4583.752500719144,5
262647084,140.7829377,41.781647,5.552610295127758,4,7,1,13,6838.524959798972,4645.621768210066,5
262647085,140.7833345,41.7813301,5.350364881933626,6,7,1,13,6879.413182792389,4670.017418786281,5
262647086,140.783742,41.7811219,5.383714586782225,6,7,1,13,6908.736298755745,4698.0991099935445,5
262647087,140.7843484,41.7805833,4.843217247045225,4,7,1,13,6977.461937401856,4735.325874696899,5
262647402,140.7280071,41.7726658,1.4551010798771018,4,95,1,8,8353.549683341671,21.761264772831343,1
262647403,140.7295946,41.7721482,2.173232534403291,6,98,2,8,8357.391459524608,136.32604499628096,1
262648446,140.8195958,41.7901107,54.11414104780515,6,0,0,7,7219.583793826403,7806.673342176161,6
262648448,140.818431,41.7903345,54.71831520786109,6,0,0,7,7142.2331766957395,7720.0475838471775,6
262648450,140.8173999,41.790125,53.70040796613366,8,0,0,7,7110.909036988604,7631.8572494964765,6
262648463,140.8060781,41.7830803,10.790908461203626,6,10,2,6,7301.706666140727,6548.417426478324,0
262648464,140.8048916,41.7822431,9.69823950984352,6,10,3,6,7343.091184908293,6435.810624799437,5
262648465,140.8041028,41.7816668,8.957399695828919,6,9,3,6,7373.837572447966,6361.079021672423,5
262648468,140.8021705,41.780531,7.344376039536031,6,8,3,6,7425.115077008014,6184.2566338982715,5
262648471,140.8006559,41.7803568,11.093851186198274,6,6,3,6,7395.132791274832,6057.816707230807,5
262648472,140.7996825,41.7804174,14.978938746121145,6,5,3,6,7359.101666235878,5979.357482847618,5
262656607,140.7318898,41.7894665,2.323058074972661,12,11,2,1,6521.401120716877,1915.385408890924,2
262656615,140.7406329,41.7891771,4.688615374979793,6,18,1,3,6264.639978203166,2128.7404893145854,2
262656620,140.7477426,41.7896741,10.799462972032233,8,35,0,4,6032.509292073326,2511.220845862646,2
262656622,140.7498255,41.7894038,13.6504089064931,6,35,0,2,6018.702811372551,2604.1569750727313,2
262656753,140.7280983,41.7727686,1.5030243533304497,6,95,1,8,8340.11206432233,34.15132268873658,1
262656851,140.7302169,41.7720483,2.4362649521389805,4,95,2,9,8348.903628366841,188.79965758102577,1
262656921,140.7256264,41.7734563,1.069225808589143,5,89,1,6,8350.92972266622,224.39603032748673,1
262657100,140.7278753,41.7727984,1.3814618338160904,6,94,1,8,8344.157964903787,37.907921836270035,1
262658607,140.7315354,41.8256267,19.476300605614643,6,2,0,5,3449.097782479741,5912.907478007752,0
262658613,140.7353423,41.8252029,23.935857558585663,4,3,0,0,3214.1234279100036,5889.856514521047,0
262658624,140.7516208,41.8159971,30.700923991995477,4,50,2,7,3161.019499809967,5213.736071413811,7
262658625,140.7538989,41.8150451,31.278142461469074,4,54,3,6,3189.6152981352534,5190.288846488511,7
262658632,140.7684524,41.8109521,26.581508897100655,4,5,0,13,3457.3556402450677,5423.692389634919,3
262658633,140.7694518,41.8105535,26.44560402130671,6,6,0,13,3505.3829434788468,5440.299817281583,3
262658639,140.7731289,41.8043391,18.47217673111623,8,6,1,1,4220.304354258331,5137.896525424936,0
262658645,140.7766181,41.8006677,19.91714468320275,4,7,1,2,4665.71960028304,5089.428266127194,0
262659263,140.7372644,41.8389118,43.37985018580394,3,2,1,2,2478.7843723183273,7421.147670176048,0
262659267,140.736888,41.8364239,38.320042829664466,4,1,0,0,2562.630389601279,7143.014056121938,0
262659270,140.7367374,41.8300925,31.295713933139652,3,6,1,0,2829.064515098686,6442.31418643488,0
262659271,140.7367372,41.8295504,30.657907406586418,4,5,0,0,2857.862360211737,6382.466767232818,0
