route_id,direction,stop_sequence,stop_name
11,0,1,函館大学前
11,0,2,戸倉ケ丘団地入口
11,0,3,函館高専前
11,0,4,電話交換局前
11,0,5,湯倉神社前
11,0,6,湯川中学校前
11,0,7,学園前
11,0,8,日吉町１丁目
11,0,9,花園町
11,0,10,花園団地通
11,0,11,東本通
11,0,12,白百合学園前
11,0,13,東山団地
11,0,14,東山公園
11,0,15,神山通
11,0,16,中央小学校前
11,0,17,亀田支所前
11,0,18,亀田中学校前
11,0,19,昭和ターミナル
11,0,20,新都市病院前
11,0,21,昭和
11,0,22,流通センター入口
11,0,23,中央自動車学校前
11,0,24,西桔梗
11,0,25,七重浜保育園前
11,0,26,七重浜保育園前
11,0,27,石田文具・七重浜２
11,0,28,七重浜７丁目
11,0,29,慰霊碑前
11,0,30,七重浜の湯前
11,0,31,七重浜８丁目
11,0,32,東久根別
11,0,33,久根別小学校前
11,0,34,久根別
11,0,35,東浜２丁目
11,0,36,北斗市役所通
11,0,37,北斗消防署
11,0,38,上磯漁港前
11,0,39,上磯駅前通
11,0,40,太平洋セメント
11,0,41,上谷好
11,0,42,谷好住民センター
11,0,43,谷川小学校前
11,0,44,富川会館前
12,0,1,昭和ターミナル
12,0,2,新都市病院前
12,0,3,昭和
12,0,4,流通センター入口
12,0,5,中央自動車学校前
12,0,6,西桔梗
12,0,7,七重浜保育園前
12,0,8,七重浜駅通
12,0,9,桜ヶ丘団地前
12,0,10,北大裏
12,0,11,東港
12,0,12,港小学校前
12,0,13,市立函館病院
12,0,14,港町１丁目
12,0,15,港
12,0,16,北浜町
12,0,17,万年橋
12,0,18,吉川町
12,0,19,ガス会社前
12,0,20,宮前町
12,0,21,新世橋
12,0,22,テーオーデパート前
12,0,23,五稜郭
12,0,24,杉並町
12,0,25,柏木町
12,0,26,深堀町
12,0,27,競馬場前
12,0,28,駒場車庫
12,0,29,函館アリーナ
12,0,30,湯川温泉電停前
12,0,31,湯倉神社前
12,0,32,湯川小学校前
12,0,33,戸倉町
12,0,34,戸倉中学校下
12,0,35,湯川団地北口
12,0,36,湯川団地中央
12,0,37,湯川団地北口
12,0,38,上湯川小学校下
12,0,39,トラピスチヌ入口
12,0,40,西旭岡１丁目
12,0,41,西旭岡４区
12,0,42,旭岡小学校前
12,0,43,旭岡幼稚園前
12,0,44,西旭岡２丁目
12,0,45,旭岡団地
12,0,46,西旭岡３丁目
12,0,47,児童公園前
12,0,48,旭岡中学校前
13,0,1,工業高校前
13,0,2,大妻高校前
13,0,3,市立函館高校前
13,0,4,大谷学園前
13,0,5,東山公園
13,0,6,神山通
13,0,7,中央小学校前
13,0,8,亀田支所前
13,0,9,亀田中学校前
13,0,10,昭和ターミナル
13,0,11,新都市病院前
13,0,12,昭和
13,0,13,流通センター入口
13,0,14,中央自動車学校前
13,0,15,西桔梗
13,0,16,七重浜５丁目
13,0,17,浜分小学校前
13,0,18,追分グリーンヴィラ
13,0,19,追分福祉センター前
13,0,20,七重浜８丁目
13,0,21,東久根別
13,0,22,久根別小学校前
13,0,23,久根別
13A,0,1,函館大学前
13A,0,2,戸倉ケ丘団地入口
13A,0,3,函館高専前
13A,0,4,電話交換局前
13A,0,5,湯倉神社前
13A,0,6,湯川中学校前・福徳整
13A,0,7,学園前
13A,0,8,日吉町１丁目
13A,0,9,花園町・十字街
13A,0,10,花園町
13A,0,11,花園団地通
13A,0,12,東本通
13A,0,13,工業高校前
13A,0,14,大妻高校前
13A,0,15,市立函館高校前
13A,0,16,大谷学園前
13A,0,17,東山公園
13A,0,18,神山通
13A,0,19,中央小学校前
13A,0,20,亀田支所前
13A,0,21,亀田中学校前
13A,0,22,昭和ターミナル
13A,0,23,新都市病院前
13A,0,24,昭和
13A,0,25,流通センター入口
13A,0,26,中央自動車学校前
13A,0,27,西桔梗
13A,0,28,七重浜５丁目
13A,0,29,浜分小学校前
13A,0,30,追分グリーンヴィラ
13A,0,31,追分福祉センター前
13A,0,32,七重浜８丁目
13A,0,33,東久根別
13A,0,34,久根別小学校前
13A,0,35,久根別
16,0,1,津軽海峡フェリー
16,0,2,港町臨港通
16,0,3,臨港橋
16,0,4,北大前
16,0,5,港中学校前
16,0,6,港小学校通
16,0,7,港小学校前
16,0,8,市立函館病院
