stop_id,stop_name
S0001,すずらんの丘
S0002,ななえ新病院
S0003,はこだて未来大学
S0004,めぐみ幼稚園前
S0005,よつば学園前
S0006,アカシヤ団地
S0007,ガス会社前
S0008,コンテ日吉
S0009,サン・リフレ函館前
S0010,テーオーデパート前
S0011,トラピスチヌ入口
S0012,トラピスチヌ前
S0013,ポリテクセンター函館
S0014,ラビスタ函館ベイ前
S0015,リサイクルＣ
S0016,ロープウェイ前
S0017,七重浜の湯前
S0018,七重浜保育園前
S0019,七重浜駅通
S0020,七重浜５丁目
S0021,七重浜７丁目
S0022,七重浜８丁目
S0023,七飯
S0024,七飯中通
S0025,七飯役場前
S0026,七飯役場通
S0027,七飯本町２丁目
S0028,七飯桜町
S0029,七飯駅入口
S0030,七飯高校前
S0031,万代町
S0032,万年橋
S0033,三育小学校前
S0034,上大中山
S0035,上桔梗
S0036,上湯川小学校下
S0037,上瀬戸川町
S0038,上磯漁港前
S0039,上磯駅前通
S0040,上谷好
S0041,上陣川
S0042,下赤川
S0043,世界救世教前
S0044,中の橋
S0045,中の沢
S0046,中央図書館前
S0047,中央大川
S0048,中央小学校前
S0049,中央昭和
S0050,中央病院前
S0051,中央自動車学校前
S0052,中部高校前
S0053,中部高校裏
S0054,乃木町
S0055,久根別
S0056,久根別小学校前
S0057,亀田中学校前
S0058,亀田中野
S0059,亀田外郭通
S0060,亀田小学校前
S0061,亀田支所前
S0062,亀田町
S0063,五稜郭
S0064,五稜郭タワー
S0065,五稜郭・大村美容
S0066,五稜郭公園入口
S0067,五稜郭公園裏
S0068,五稜郭病院前
S0069,五稜郭駅前
S0070,人見町
S0071,低区貯水池
S0072,元町（市内）
S0073,元町／西高校前
S0074,児童公園前
S0075,入舟町
S0076,公会堂前
S0077,共愛会病院前
S0078,函館アリーナ
S0079,函館バスセンター
S0080,函館フットボール
S0081,函館フットボールパーク前
S0082,函館公園
S0083,函館公園通
S0084,函館国際ホテル
S0085,函館地方気象台
S0086,函館大学前
S0087,函館新幹線車両所
S0088,函館朝市前
S0089,函館牛乳あいす１１８
