stop_id,stop_name,route_count,total_daily_trips,p_morning,p_daytime,p_night,latitude,longitude,elevation,osm_node_id,osm_node_dist
S0001,すずらんの丘,1,24,0.5276,0.2749,0.2061,41.806366,140.807323,96.8,2722119436,140.8
S0002,ななえ新病院,3,98,0.9561,0.8134,0.6177,41.896414,140.704437,134.0,1620297371,4793.6
S0003,はこだて未来大学,6,216,0.9972,0.9789,0.9043,41.842053,140.767011,129.1,3561118665,49.6
S0004,めぐみ幼稚園前,1,59,0.8806,0.6049,0.4384,41.895721,140.694412,78.0,1620297125,5306.7
S0005,よつば学園前,1,21,0.3935,0.2212,0.2649,41.895721,140.694412,78.0,1620297125,5306.7
S0006,アカシヤ団地,2,46,0.7472,0.5602,0.3697,41.895721,140.694412,78.0,1620297125,5306.7
S0007,ガス会社前,14,541,0.9994,0.9994,0.9986,41.895721,140.694412,78.0,1620297125,5306.7
S0008,コンテ日吉,3,108,0.9436,0.8439,0.6965,41.78849,140.790161,27.8,5613261863,60.2
S0009,サン・リフレ函館前,1,12,0.2212,0.1016,0.1426,41.895721,140.694412,78.0,1620297125,5306.7
S0010,テーオーデパート前,16,589,0.9994,0.9994,0.9987,41.895721,140.694412,78.0,1620297125,5306.7
S0011,トラピスチヌ入口,5,215,0.9981,0.9729,0.9079,41.7878634722222,140.822516694444,65.1,5516519282,16.0
S0012,トラピスチヌ前,1,45,0.5276,0.5602,0.4164,41.7878634722222,140.822516694444,65.1,5516519282,16.0
S0013,ポリテクセンター函館,7,265,0.9994,0.9893,0.9483,41.895721,140.694412,78.0,1620297125,5306.7
S0014,ラビスタ函館ベイ前,1,48,0.5831,0.5105,0.48,41.895721,140.694412,78.0,1620297125,5306.7
S0015,リサイクルＣ,1,52,0.7135,0.6575,0.3697,41.895721,140.694412,78.0,1620297125,5306.7
S0016,ロープウェイ前,2,82,0.8031,0.7332,0.6594,41.7598047233333,140.705166017778,284.1,4508499231,118.6
S0017,七重浜の湯前,1,33,0.3935,0.3935,0.3697,41.812401,140.707596,1.7,472636119,400.6
S0018,七重浜保育園前,3,134,0.9658,0.9086,0.7496,41.812401,140.707596,1.7,472636119,400.6
S0019,七重浜駅通,3,116,0.9561,0.8908,0.6594,41.812401,140.707596,1.7,472636119,400.6
S0020,七重浜５丁目,3,85,0.9361,0.7135,0.6177,41.823803,140.708633,4.5,13078822389,203.2
S0021,七重浜７丁目,1,33,0.3935,0.3935,0.3697,41.818443,140.699829,3.1,5791826442,1125.3
S0022,七重浜８丁目,4,118,0.9658,0.8439,0.7496,41.822292,140.688599,3.7,1620292687,1723.3
S0023,七飯,2,46,0.7472,0.5602,0.3697,41.895721,140.694412,78.0,1620297125,5306.7
S0024,七飯中通,1,23,0.4647,0.3486,0.1426,41.895721,140.694412,78.0,1620297125,5306.7
S0025,七飯役場前,2,46,0.7472,0.5602,0.3697,41.895721,140.694412,78.0,1620297125,5306.7
S0026,七飯役場通,2,46,0.7472,0.5602,0.3697,41.895721,140.694412,78.0,1620297125,5306.7
S0027,七飯本町２丁目,1,23,0.4647,0.3486,0.1426,41.895721,140.694412,78.0,1620297125,5306.7
S0028,七飯桜町,1,23,0.4647,0.3486,0.1426,41.895721,140.694412,78.0,1620297125,5306.7
S0029,七飯駅入口,1,23,0.4647,0.3486,0.1426,41.895721,140.694412,78.0,1620297125,5306.7
S0030,七飯高校前,2,75,0.9276,0.7135,0.48,41.895721,140.694412,78.0,1620297125,5306.7
S0031,万代町,1,14,0.2212,0.2212,0.1426,41.787868,140.728546,2.4,672694032,82.2
S0032,万年橋,2,95,0.9276,0.7923,0.6846,41.795999,140.730712,2.2,1204472785,32.2
S0033,三育小学校前,1,59,0.8806,0.6049,0.4384,41.885212,140.862305,406.8,2636781002,1267.9
S0034,上大中山,3,98,0.9561,0.8134,0.6177,41.894684,140.744568,404.6,1620298104,2306.2
S0035,上桔梗,1,59,0.8806,0.6049,0.4384,41.829765,140.729477,29.2,5137535074,31.9
S0036,上湯川小学校下,5,215,0.9981,0.9729,0.9079,41.786339,140.818909,39.6,2629082718,45.7
S0037,上瀬戸川町,2,110,0.9436,0.8134,0.7853,41.786339,140.818909,39.6,2629082718,45.7
S0038,上磯漁港前,1,33,0.3935,0.3935,0.3697,41.786339,140.818909,39.6,2629082718,45.7
