direction,stop_sequence,stop_name
0,1,昭和ターミナル
0,2,新都市病院前
0,3,昭和
0,4,流通センター入口
0,5,中央自動車学校前
0,6,西桔梗
0,7,七重浜保育園前
0,8,七重浜駅通
0,9,桜ヶ丘団地前
0,10,北大裏
0,11,東港
0,12,港小学校前
0,13,市立函館病院
0,14,港町１丁目
0,15,港
0,16,北浜町
0,17,万年橋
0,18,吉川町
0,19,ガス会社前
0,20,宮前町
0,21,新世橋
0,22,テーオーデパート前
0,23,五稜郭
0,24,杉並町
0,25,柏木町
0,26,深堀町
0,27,競馬場前
0,28,駒場車庫
0,29,函館アリーナ
0,30,湯川温泉電停前
0,31,湯倉神社前
0,32,湯川小学校前
0,33,戸倉町
0,34,戸倉中学校下
0,35,湯川団地北口
0,36,湯川団地中央
0,37,湯川団地北口
0,38,上湯川小学校下
0,39,トラピスチヌ入口
0,40,西旭岡１丁目
0,41,西旭岡４区
0,42,旭岡小学校前
0,43,旭岡幼稚園前
0,44,西旭岡２丁目
0,45,旭岡団地
0,46,西旭岡３丁目
0,47,児童公園前
0,48,旭岡中学校前
