direction,stop_sequence,stop_name
0,1,函館空港
0,2,上瀬戸川町
0,3,瀬戸川町
0,4,空港団地
0,5,空港団地入口
0,6,湯川団地中央
0,7,湯川団地北口
0,8,戸倉中学校下
0,9,戸倉町
0,10,湯川小学校前
0,11,湯倉神社前
0,12,湯川温泉電停前
0,13,函館アリーナ
0,14,駒場車庫前
0,15,競馬場前
0,16,深堀町
0,17,柏木町
0,18,杉並町
0,19,五稜郭
0,20,五稜郭公園入口
0,21,警察署前
0,22,田家入口
0,23,医師会病院前
0,24,富岡
0,25,亀田支所前
0,26,中央小学校前
0,27,神山通
0,28,東山公園
0,29,東山団地
0,30,白百合学園前
0,31,東本通
0,32,花園団地通
0,33,花園町
0,34,花園町・十字街
0,35,日吉町１丁目
0,36,学園前
0,37,湯川中学校前
0,38,湯倉神社前
0,39,湯川小学校前
0,40,戸倉町
0,41,戸倉中学校下
0,42,湯川団地北口
0,43,湯川団地中央
0,44,空港団地入口
0,45,函館空港
