direction,stop_sequence,stop_name
0,1,函館空港
0,2,空港団地入口
0,3,湯川団地中央
0,4,湯川団地北口
0,5,戸倉中学校下
0,6,戸倉町
0,7,湯川小学校前
0,8,湯倉神社前
0,9,湯川中学校前
0,10,学園前
0,11,日吉町１丁目
0,12,花園町
0,13,花園団地通
0,14,東本通
0,15,白百合学園前
0,16,東山団地
0,17,東山公園
0,18,神山通
0,19,中央小学校前
0,20,亀田支所前
0,21,富岡
0,22,医師会病院前
0,23,田家入口
0,24,警察署前
0,25,五稜郭公園入口
0,26,五稜郭
0,27,杉並町
0,28,柏木町
0,29,深堀町
0,30,競馬場前
0,31,駒場車庫前
0,32,市民会館・函館アリーナ前
0,33,湯川温泉電停前
0,34,湯倉神社前
0,35,湯川小学校前
0,36,戸倉町
0,37,戸倉中学校下
0,38,湯川団地北口
0,39,湯川団地中央
0,40,空港団地入口
0,41,空港団地
0,42,瀬戸川町
0,43,上瀬戸川町
0,44,函館空港
